Player,AV,Age,Pos
Lamarr Houston,7,26,LDE
Lamarr Houston,3,27,LDE
Jaye Howard,6,26,LDE
Jaye Howard,8,27,RDE
Margus Hunt,1,26,DE
Margus Hunt,1,27,DE
Margus Hunt,1,29,DE
Margus Hunt,3,30,LDE
Margus Hunt,8,31,RDE/LDT
Margus Hunt,1,33,DE
Margus Hunt,1,34,DE
Melvin Ingram,2,23,DE
Melvin Ingram,13,28,RDE
Melvin Ingram,11,29,RDE
Melvin Ingram,10,30,RDE
Melvin Ingram,4,32,LDE
Matthew Ioannidis,5,23,RDE
Matthew Ioannidis,5,24,RDE/NT
Matthew Ioannidis,7,25,RDE
Bruce Irvin,3,25,DE
Bruce Irvin,4,31,DE
Kenny Iwebema,1,23,DE
Kenny Iwebema,1,24,DE
Joe Jackson,1,25,DE
Lawrence Jackson,6,23,RDE
Lawrence Jackson,5,24,RDE
Lawrence Jackson,2,25,DE
Lawrence Jackson,2,26,DE
Lawrence Jackson,1,27,DE
Malik Jackson,4,23,LDE
Malik Jackson,9,25,RDE
Rob Jackson,1,26,DE
Rob Jackson,1,28,DE
Tyson Jackson,6,23,LDE
Tyson Jackson,3,24,DE
Tyson Jackson,6,25,LDE
Tyson Jackson,6,26,LDE
Tyson Jackson,5,27,LDE
Erasmus James,4,23,RDE
Jeremy Jarmon,1,22,DE
Ricky Jean-Francois,4,27,RDE
Ricky Jean-Francois,3,30,LDE
Jarvis Jenkins,5,24,LDE
Jarvis Jenkins,3,25,LDE
Jarvis Jenkins,6,26,LDE
Jarvis Jenkins,7,27,RDE
Julian Jenkins,1,23,DE
Timmy Jernigan,4,23,LDE
Timmy Jernigan,8,24,LDE
Peria Jerry,5,29,LDE
Cam Johnson,1,23,DE
Charles Johnson,2,22,DE
Charles Johnson,3,23,DE
Charles Johnson,8,24,LDE
Charles Johnson,5,25,RDE
Charles Johnson,8,26,RDE
Charles Johnson,8,27,LDE
Charles Johnson,8,28,LDE
Charles Johnson,4,29,LDE
Charles Johnson,6,30,LDE
Charles Johnson,4,31,LDE
Dennis Johnson,1,23,DE
Dennis Johnson,4,24,LDE
Jarret Johnson,2,22,DE
Jarret Johnson,3,23,DE
Jarret Johnson,6,24,LDE
Jarret Johnson,3,25,DE
Michael Johnson,2,22,DE
Michael Johnson,6,23,RDE
Michael Johnson,4,24,RDE
Michael Johnson,9,25,RDE
Michael Johnson,10,26,RDE
Michael Johnson,5,27,RDE
Michael Johnson,8,28,RDE
Michael Johnson,8,29,RDE
Michael Johnson,7,30,RDE
Michael Johnson,6,31,RDE
Trevor Johnson,2,23,DE
Trevor Johnson,1,24,DE
Trevor Johnson,1,26,DE
Johnny Jolly,8,26,LDE
Johnny Jolly,4,30,RDE
Arthur Jones,4,26,RDE
Arthur Jones,8,27,LDE
Arthur Jones,3,30,RDE
Datone Jones,2,23,DE
Datone Jones,3,24,DE
Datone Jones,2,25,DE
Datone Jones,3,26,DE
Jason Jones,6,25,RDE
Jason Jones,8,28,RDE
Jason Jones,6,29,LDE
Dion Jordan,2,23,DE
