Player,AV,Age,Pos,-9999
Dante Rosario,3,25,TE,RosaDa00
Dante Rosario,1,26,TE,RosaDa00
Dante Rosario,1,27,TE,RosaDa00
Dante Rosario,1,28,TE,RosaDa00
Dante Rosario,1,30,TE,RosaDa00
Robert Royal,1,25,TE,RoyaRo00
Robert Royal,1,26,TE,RoyaRo00
Robert Royal,2,27,TE,RoyaRo00
Robert Royal,2,28,TE,RoyaRo00
Robert Royal,3,29,TE,RoyaRo00
Robert Royal,1,30,TE,RoyaRo00
Kyle Rudolph,2,22,TE,RudoKy00
Kyle Rudolph,6,23,TE,RudoKy00
Kyle Rudolph,3,24,TE,RudoKy00
Kyle Rudolph,2,25,TE,RudoKy00
Kyle Rudolph,5,26,TE,RudoKy00
Kyle Rudolph,7,27,TE,RudoKy00
Kyle Rudolph,5,28,TE,RudoKy00
Kyle Rudolph,5,29,TE,RudoKy00
Kyle Rudolph,4,30,TE,RudoKy00
Kyle Rudolph,3,31,TE,RudoKy00
Kyle Rudolph,2,32,TE,RudoKy00
Sean Ryan,1,29,TE,RyanSe00
Darnell Sanders,1,24,TE,SandDa00
Bo Scaife,2,24,TE,ScaiBo00
Bo Scaife,4,25,TE,ScaiBo00
Bo Scaife,4,26,TE,ScaiBo00
Bo Scaife,5,27,TE,ScaiBo00
Bo Scaife,4,28,TE,ScaiBo00
Bo Scaife,3,29,TE,ScaiBo00
Tony Scheffler,3,23,TE,ScheTo00
Tony Scheffler,5,24,TE,ScheTo00
Tony Scheffler,6,25,TE,ScheTo00
Tony Scheffler,3,26,TE,ScheTo00
Tony Scheffler,3,27,TE,ScheTo00
Tony Scheffler,3,28,TE,ScheTo00
Tony Scheffler,4,29,TE,ScheTo00
Matt Schobel,2,24,TE,SchoMa00
Matt Schobel,3,25,TE,SchoMa00
Matt Schobel,2,26,TE,SchoMa00
Matt Schobel,2,27,TE,SchoMa00
Matt Schobel,2,28,TE,SchoMa00
Matt Schobel,1,29,TE,SchoMa00
Derek Schouman,1,23,TE,SchoDe00
Austin Seferian-Jenkins,2,22,TE,SefeAu00
Austin Seferian-Jenkins,1,24,TE,SefeAu00
Austin Seferian-Jenkins,3,25,TE,SefeAu00
Mike Seidman,1,23,TE,SeidMi00
Adam Shaheen,1,25,TE,ShahAd00
Adam Shaheen,1,26,TE,ShahAd00
Adam Shaheen,1,27,TE,ShahAd00
Visanthe Shiancoe,1,25,TE,ShiaVi00
Visanthe Shiancoe,1,26,TE,ShiaVi00
Visanthe Shiancoe,3,27,TE,ShiaVi00
Visanthe Shiancoe,6,28,TE,ShiaVi00
Visanthe Shiancoe,6,29,TE,ShiaVi00
Visanthe Shiancoe,4,30,TE,ShiaVi00
Visanthe Shiancoe,4,31,TE,ShiaVi00
Jeremy Shockey,8,22,TE,ShocJe00
Jeremy Shockey,3,23,TE,ShocJe00
Jeremy Shockey,6,24,TE,ShocJe00
Jeremy Shockey,10,25,TE,ShocJe00
Jeremy Shockey,7,26,TE,ShocJe00
Jeremy Shockey,6,27,TE,ShocJe00
Jeremy Shockey,5,28,TE,ShocJe00
Jeremy Shockey,6,29,TE,ShocJe00
Jeremy Shockey,4,30,TE,ShocJe00
Jeremy Shockey,4,31,TE,ShocJe00
Dion Sims,3,23,TE,SimsDi00
Dion Sims,1,24,TE,SimsDi00
Dion Sims,2,25,TE,SimsDi00
Dion Sims,1,26,TE,SimsDi00
Alex Smith,3,23,TE,SmitAl02
Alex Smith,2,24,TE,SmitAl02
Alex Smith,4,25,TE,SmitAl02
Alex Smith,2,26,TE,SmitAl02
Alex Smith,1,29,TE,SmitAl02
L.J. Smith,4,23,TE,SmitL.00
L.J. Smith,4,24,TE,SmitL.00
L.J. Smith,5,25,TE,SmitL.00
L.J. Smith,5,26,TE,SmitL.00
L.J. Smith,2,27,TE,SmitL.00
L.J. Smith,3,28,TE,SmitL.00
Lee Smith,1,26,TE,SmitLe00
Lee Smith,1,28,TE,SmitLe00
Lee Smith,1,30,TE,SmitLe00
Lee Smith,1,31,TE,SmitLe00
Lee Smith,1,34,TE,SmitLe00
Matt Spaeth,1,25,TE,SpaeMa00
Matt Spaeth,1,27,TE,SpaeMa00
